geohash,estaciones_sitp_100,estaciones_sitp_200,estaciones_sitp_500,estaciones_tm_100,estaciones_tm_200,estaciones_tm_500,supermarkets_100,supermarkets_200,supermarkets_500
d2g6bbz6,2,3,22,0,0,0,0,1,8
d2g4r6ju,0,0,13,0,0,0,1,2,2
d2g757hy,2,3,37,0,0,0,2,7,19
d2g4r3u5,0,0,13,0,0,0,0,0,2
d2g62njc,0,1,29,0,0,0,0,0,8
d2g33nm1,2,2,9,0,0,0,0,0,0
d2g62jyq,0,2,24,0,0,0,0,0,8
d2g74097,0,0,14,0,0,0,0,7,13
d2g69e5d,2,4,20,0,0,0,0,0,3
d2g6ephp,2,6,20,0,0,0,3,5,13
d2g66jqg,1,2,8,0,0,1,0,0,3
d2g6fs5h,1,4,18,0,0,0,0,0,14
d2g6fwnj,0,7,22,0,0,0,0,0,2
d2g63wh9,0,1,17,0,0,0,1,1,2
d2g6gh3p,1,3,16,0,0,1,1,2,11
d2g6dw7q,0,2,14,0,0,1,2,2,9
d2g6c5c3,2,3,10,0,0,0,0,1,6
d2g6ep8s,0,0,20,0,0,0,0,0,1
d2g668fk,0,3,28,0,0,1,0,3,15
d2g6g3hz,1,6,28,0,0,0,1,1,2
d2g6g7sm,0,2,19,0,0,0,0,1,9
d2g6g2w5,6,7,25,0,0,0,0,0,6
d2g66qy0,4,7,18,0,0,0,2,4,18
d2g74gve,0,1,3,0,0,0,0,0,0
d2g751yf,0,0,5,0,0,0,0,0,1
d2g62npm,2,5,26,0,0,0,0,1,4
d2g625q6,0,1,14,0,0,1,0,0,5
d2g625pt,0,1,15,0,0,1,0,2,4
d2g62jyn,0,1,26,0,0,0,0,0,8
d2g62x19,2,4,24,0,0,0,0,0,0
d2g6dbwx,2,4,12,0,0,0,0,0,1
d2g6e13z,1,7,13,0,0,0,0,0,1
d2g66m9h,1,2,15,1,1,1,1,1,3
d2g66ecn,0,0,25,0,0,1,1,8,34
d2g62wep,0,1,26,0,0,0,0,0,0
d2g748hv,2,4,14,0,0,0,2,3,18
d2g6g0n5,0,0,15,0,0,0,0,1,8
d2g6e08s,0,0,8,0,0,0,0,0,0
d2g66jzy,0,0,8,0,0,2,0,0,2
d2g62wcx,0,4,26,0,0,0,0,0,0
d2g6fwv1,1,2,22,0,0,0,0,0,7
d2g66e78,3,8,27,0,0,1,2,11,32
d2g6dckw,2,5,17,0,0,0,1,2,11
d2g66qb3,0,3,13,0,0,1,0,0,0
d2g6eq8f,0,1,27,0,0,0,0,0,7
d2g62tdr,1,3,23,0,0,0,0,0,1
d2g6f88j,0,2,4,0,1,1,0,0,3
d2g6eptf,0,0,15,0,0,0,0,5,13
d2g63x5d,1,3,21,0,0,0,0,3,10
d2g62tbu,1,5,20,0,0,0,0,0,1
d2g6g3qv,0,5,22,0,0,0,0,0,1
d2g63x5d,1,3,21,0,0,0,0,3,10
d2g63x5d,1,3,21,0,0,0,0,3,10
d2g66z6d,3,8,23,0,0,0,0,1,6
d2g62y3f,0,0,11,0,0,0,0,0,2
